recipient,amount
9bZMAtgfcbaPrDC2kh7vi9DmQVSzPD7qWkLokc1kAQAy,36985952242175
9obi1wz8nd2YPZ4cX8P8sH2pkRWe9btMHHKa3tjEhamQ,27000704485979
GbEV1RH2cGDWLXXUEFJ8ryP3B1guHjkQ5LPkhes8BsME,29797302633146
8quzaRSxgKQr5HaxcLHXk4JqqMhb2J4PGokqjzy1MFDj,160891356832143
4X8km6XmBSk5NK2LfiqrcwxzXYSh8KiVUjdZxe3bzWKL,35728201582297
21kDnqA1p9dbiuKwvofPdQ7fBKwESnXhCS19wx6r7QPc,4316681799427
5ycPWdZPBarrBM8KMUJdFEpyGXnyu94DAqWbqKVo7uJu,3741968191333
AR6GivLAoCNmGtqcyUUVQckTTSzXXvjp4V4Ar2J9gFb7,4467453919294
C4bgengueVA9cRcprjutgu9XgvgoaaFnCqvpZaPy27xx,250204544851502
DZdEsncQ6Kn3qxBeCiG9ubAYiQJ6kRZohyKXq3KBYt7w,29913803418220
8TmL4ympgFZJb5xeeEDcT82UAkZRBmZY72qzTMXJR29D,36380479991901
D91hS1rccFa5idPr9TpWmhPxfyJCtzHaet2juYzQNrPC,2397893479942
EydLxzdWfD434DDxZYXkTcajvK5VKH7p6CofEDCRUkJ4,173983851919461
BDQ9aAm4xJkkCALkcpFhZc4azz1okLnWij27V8vwP8Yq,29802770515731
AmKhZ2k8kq9HwZZr3FMi1UJsyPQLAeg7WCHMfjLow6bp,59757500633410
2hwe7jL8GRZ87QpdfdizUfLWsy9PjYUnpZvRMSeubsRp,29890439659486
FfEvhcbCG4Zz5XiCcUi6ufMZGVRDTogkn8XCWmVLevB1,32686069136302
2VA3q6DbiLjbrLgnkiZ2fdyuRyVBkYRgqBDwA6qYiSDD,197208361234663
GX6kCVtpvFTGsedV72nK5K6VzY1bTCvqFmrtHkuZHGsX,37221216153049
DaVvfMfKshGMtCTrDnsdiGj1FhdCVCJSTjRRwuZgZy5C,538376876213
F1USDNGbFYDhG8SgAUGf1gk3e9a3r3BjuDYsz7L2qYkL,3280557697837
mds2yZwWrRhcNa1489wgRE1G9huetwJjD1NKP7PbNbm,50405218299859
3s97yjq2MhoPVPC3U9VeE3Z5S643Pweovg88ysvrQPw5,63012533996496
4mopxYfAN5crk4MT7pSCLL754Xo1V678wLX9wDFJTpvD,36974374448380
9B7iADCGXSfcseJ8F2qY6U6zHdsKo8XD4gaqHr4TLEdF,84802662744725
CbyfiyQAy9pyWKrAv3KViqHgcDPQ9ECmYx3eaQoV5hBw,111694436348971
AB169wapzUT6SRh31RJoRjiwR4bifF2eDkkDiFjnyRCJ,35462547715984
7aR6AjK87ehUxwEJrPpnoizUKtxJKxqZCQCEGD3h1Xgf,108059036631275
HH5dA42XF1HxNk1TRpG6LuKfLViMYNdAz5iWrFM4hWFi,237422739370645
DWGupvBwXjUudG1fPqtcuw4qe6ByDzzLhnbr5z7RGWsL,34227194943706
6r9y5ekgj31rKSxLoJcqbT9iQS9JLwiYyqXR1iEWkN9q,45376485109770
HW7ntfUHapD5o7McDuPfGvkfzrPcmuPSbZMMoe2gksKQ,36728935861722
9JdZLEKhA7k6SxRQ4cJT2Zh5JhRUBJGXcjTNwMtTwSiz,34462224250986
H5UNEGZvmrSyHNDzqDFkyr2WaVAPPMvkgB4PtFxvfcEC,11563272234540
7gPpBfH6syWAvgy5n7DZYar41ZTHDgSx4iFM8fWcVxfV,633133973530456
3Mu44NfrRVMaruMfp4cDFphbyqw4emcPEXasJvy65Nes,38533415611761
5ikB9XZNVsjwKb6hHT3FS3So1Z1SrDvU5yaniWEQyDEG,5272476539264106
Gqic1jyRBFEX5SPAKJpULf4om42bg1oBu2WUq9zFXrjZ,29835234456722
8o2RYHFMtg4FZW9VdFh5XzhG1t6a9DinvLok1g7W12Sx,3257908194746
DSBFx8W2oRrrQu5Y2jzQJs6tkYJ9GqCmNeEuozP6RACx,3310042756177
4t2m68yq7z4WycsdEsNt862rvSPDn4SGmc3H5eJXCrYF,34651861592078
5MFYZ1NtSDLoQ9T2qfXwuaTVfNtpuNuMxkDH19gQ9KcU,29800609223409
3iQqh65Gby53aaYUF8ocoiEyhBs4aoe7BTYYWvy1c9dF,1007717120
EZUyrtZoBWMMoXTLzDo4RVTXi5XKYCs1kq7oESFLDvCP,4934892678431
wwE7xHLfPd91XRti1AAzBv2zTEYayNmUh4bkJNSvyDf,38142176141127
94nRfNEua2iKpbjxzozNczrGK94Z7zfq2AcG3T73HPEd,37136629405142
6kDyGMHbuWekkcquroYNp8VRL5pQiUzEJ11gJ75qJsRy,36621555298260
ZNru5qSjHMs37Djj3LCEeZTfwNfKxGNDqvWN2DpbZrX,2947187342024
3ngMxX3DpJ98HcZAAWLLAMDt8yo3eJkMr2XKaDojAkPf,2578002550669
GREEDkgav1ox1jYyd9Anv6exLqKV2vYnxMw5prGwmNKc,735937761626917
nr9JVK5yUnqf3Eu8ecKHfJDZrxRKRsNzT76qPpnW2BE,2154615307581
4ABRDxRkCGMTRE6G4vpPTX83yAXiLFWFGUaiqmEtEZdS,3044905576032
RoYFUUD7QD9aQ34UCMcwfye8dC5YvJeXz2J3mmoy5S4,480646153493290
BvuuXvzpay6ytocWRE9D7Xqxhmt4NFhineuKnKQBfXKS,2959367162614
Gb2M4Ee5ciut3Cc3toG6UrXJohPPiLcT3RkUaDU7dHp2,115388404341594
